id_periodo,anio,numero_semana,fecha_inicio,fecha_fin
334,2006,21,2006-05-21,2006-05-27
335,2006,22,2006-05-28,2006-06-03
336,2006,23,2006-06-04,2006-06-10
337,2006,24,2006-06-11,2006-06-17
338,2006,25,2006-06-18,2006-06-24
339,2006,26,2006-06-25,2006-07-01
340,2006,27,2006-07-02,2006-07-08
341,2006,28,2006-07-09,2006-07-15
342,2006,29,2006-07-16,2006-07-22
343,2006,30,2006-07-23,2006-07-29
344,2006,31,2006-07-30,2006-08-05
345,2006,32,2006-08-06,2006-08-12
346,2006,33,2006-08-13,2006-08-19
347,2006,34,2006-08-20,2006-08-26
348,2006,35,2006-08-27,2006-09-02
349,2006,36,2006-09-03,2006-09-09
350,2006,37,2006-09-10,2006-09-16
351,2006,38,2006-09-17,2006-09-23
352,2006,39,2006-09-24,2006-09-30
353,2006,40,2006-10-01,2006-10-07
354,2006,41,2006-10-08,2006-10-14
355,2006,42,2006-10-15,2006-10-21
356,2006,43,2006-10-22,2006-10-28
357,2006,44,2006-10-29,2006-11-04
358,2006,45,2006-11-05,2006-11-11
359,2006,46,2006-11-12,2006-11-18
360,2006,47,2006-11-19,2006-11-25
361,2006,48,2006-11-26,2006-12-02
362,2006,49,2006-12-03,2006-12-09
363,2006,50,2006-12-10,2006-12-16
364,2006,51,2006-12-17,2006-12-23
365,2006,52,2006-12-24,2006-12-30
366,2006,53,2006-12-31,2007-01-06
367,2007,1,2007-01-07,2007-01-13
368,2007,2,2007-01-14,2007-01-20
369,2007,3,2007-01-21,2007-01-27
370,2007,4,2007-01-28,2007-02-03
371,2007,5,2007-02-04,2007-02-10
372,2007,6,2007-02-11,2007-02-17
373,2007,7,2007-02-18,2007-02-24
374,2007,8,2007-02-25,2007-03-03
375,2007,9,2007-03-04,2007-03-10
376,2007,10,2007-03-11,2007-03-17
377,2007,11,2007-03-18,2007-03-24
378,2007,12,2007-03-25,2007-03-31
379,2007,13,2007-04-01,2007-04-07
380,2007,14,2007-04-08,2007-04-14
381,2007,15,2007-04-15,2007-04-21
382,2007,16,2007-04-22,2007-04-28
383,2007,17,2007-04-29,2007-05-05
384,2007,18,2007-05-06,2007-05-12
385,2007,19,2007-05-13,2007-05-19
386,2007,20,2007-05-20,2007-05-26
387,2007,21,2007-05-27,2007-06-02
388,2007,22,2007-06-03,2007-06-09
389,2007,23,2007-06-10,2007-06-16
390,2007,24,2007-06-17,2007-06-23
391,2007,25,2007-06-24,2007-06-30
392,2007,26,2007-07-01,2007-07-07
393,2007,27,2007-07-08,2007-07-14
394,2007,28,2007-07-15,2007-07-21
395,2007,29,2007-07-22,2007-07-28
396,2007,30,2007-07-29,2007-08-04
397,2007,31,2007-08-05,2007-08-11
398,2007,32,2007-08-12,2007-08-18
399,2007,33,2007-08-19,2007-08-25
400,2007,34,2007-08-26,2007-09-01
401,2007,35,2007-09-02,2007-09-08
402,2007,36,2007-09-09,2007-09-15
403,2007,37,2007-09-16,2007-09-22
404,2007,38,2007-09-23,2007-09-29
405,2007,39,2007-09-30,2007-10-06
406,2007,40,2007-10-07,2007-10-13
407,2007,41,2007-10-14,2007-10-20
408,2007,42,2007-10-21,2007-10-27
409,2007,43,2007-10-28,2007-11-03
410,2007,44,2007-11-04,2007-11-10
411,2007,45,2007-11-11,2007-11-17
412,2007,46,2007-11-18,2007-11-24
413,2007,47,2007-11-25,2007-12-01
414,2007,48,2007-12-02,2007-12-08
415,2007,49,2007-12-09,2007-12-15
416,2007,50,2007-12-16,2007-12-22
417,2007,51,2007-12-23,2007-12-29
418,2007,52,2007-12-30,2008-01-05
419,2008,1,2008-01-06,2008-01-12
420,2008,2,2008-01-13,2008-01-19
421,2008,3,2008-01-20,2008-01-26
422,2008,4,2008-01-27,2008-02-02
423,2008,5,2008-02-03,2008-02-09
424,2008,6,2008-02-10,2008-02-16
425,2008,7,2008-02-17,2008-02-23
426,2008,8,2008-02-24,2008-03-01
427,2008,9,2008-03-02,2008-03-08
428,2008,10,2008-03-09,2008-03-15
429,2008,11,2008-03-16,2008-03-22
430,2008,12,2008-03-23,2008-03-29
431,2008,13,2008-03-30,2008-04-05
432,2008,14,2008-04-06,2008-04-12
433,2008,15,2008-04-13,2008-04-19
434,2008,16,2008-04-20,2008-04-26
435,2008,17,2008-04-27,2008-05-03
436,2008,18,2008-05-04,2008-05-10
437,2008,19,2008-05-11,2008-05-17
438,2008,20,2008-05-18,2008-05-24
439,2008,21,2008-05-25,2008-05-31
440,2008,22,2008-06-01,2008-06-07
441,2008,23,2008-06-08,2008-06-14
442,2008,24,2008-06-15,2008-06-21
443,2008,25,2008-06-22,2008-06-28
444,2008,26,2008-06-29,2008-07-05
445,2008,27,2008-07-06,2008-07-12
446,2008,28,2008-07-13,2008-07-19
447,2008,29,2008-07-20,2008-07-26
448,2008,30,2008-07-27,2008-08-02
449,2008,31,2008-08-03,2008-08-09
450,2008,32,2008-08-10,2008-08-16
451,2008,33,2008-08-17,2008-08-23
452,2008,34,2008-08-24,2008-08-30
453,2008,35,2008-08-31,2008-09-06
454,2008,36,2008-09-07,2008-09-13
455,2008,37,2008-09-14,2008-09-20
456,2008,38,2008-09-21,2008-09-27
457,2008,39,2008-09-28,2008-10-04
458,2008,40,2008-10-05,2008-10-11
459,2008,41,2008-10-12,2008-10-18
460,2008,42,2008-10-19,2008-10-25
461,2008,43,2008-10-26,2008-11-01
462,2008,44,2008-11-02,2008-11-08
463,2008,45,2008-11-09,2008-11-15
464,2008,46,2008-11-16,2008-11-22
465,2008,47,2008-11-23,2008-11-29
466,2008,48,2008-11-30,2008-12-06
467,2008,49,2008-12-07,2008-12-13
468,2008,50,2008-12-14,2008-12-20
469,2008,51,2008-12-21,2008-12-27
470,2008,52,2008-12-28,2009-01-03
471,2009,1,2009-01-04,2009-01-10
472,2009,2,2009-01-11,2009-01-17
473,2009,3,2009-01-18,2009-01-24
474,2009,4,2009-01-25,2009-01-31
475,2009,5,2009-02-01,2009-02-07
476,2009,6,2009-02-08,2009-02-14
477,2009,7,2009-02-15,2009-02-21
478,2009,8,2009-02-22,2009-02-28
479,2009,9,2009-03-01,2009-03-07
480,2009,10,2009-03-08,2009-03-14
481,2009,11,2009-03-15,2009-03-21
482,2009,12,2009-03-22,2009-03-28
483,2009,13,2009-03-29,2009-04-04
484,2009,14,2009-04-05,2009-04-11
485,2009,15,2009-04-12,2009-04-18
486,2009,16,2009-04-19,2009-04-25
487,2009,17,2009-04-26,2009-05-02
488,2009,18,2009-05-03,2009-05-09
489,2009,19,2009-05-10,2009-05-16
490,2009,20,2009-05-17,2009-05-23
491,2009,21,2009-05-24,2009-05-30
492,2009,22,2009-05-31,2009-06-06
493,2009,23,2009-06-07,2009-06-13
494,2009,24,2009-06-14,2009-06-20
495,2009,25,2009-06-21,2009-06-27
496,2009,26,2009-06-28,2009-07-04
497,2009,27,2009-07-05,2009-07-11
498,2009,28,2009-07-12,2009-07-18
499,2009,29,2009-07-19,2009-07-25
500,2009,30,2009-07-26,2009-08-01
501,2009,31,2009-08-02,2009-08-08
502,2009,32,2009-08-09,2009-08-15
503,2009,33,2009-08-16,2009-08-22
504,2009,34,2009-08-23,2009-08-29
505,2009,35,2009-08-30,2009-09-05
506,2009,36,2009-09-06,2009-09-12
507,2009,37,2009-09-13,2009-09-19
508,2009,38,2009-09-20,2009-09-26
509,2009,39,2009-09-27,2009-10-03
510,2009,40,2009-10-04,2009-10-10
511,2009,41,2009-10-11,2009-10-17
512,2009,42,2009-10-18,2009-10-24
513,2009,43,2009-10-25,2009-10-31
514,2009,44,2009-11-01,2009-11-07
515,2009,45,2009-11-08,2009-11-14
516,2009,46,2009-11-15,2009-11-21
517,2009,47,2009-11-22,2009-11-28
518,2009,48,2009-11-29,2009-12-05
519,2009,49,2009-12-06,2009-12-12
520,2009,50,2009-12-13,2009-12-19
521,2009,51,2009-12-20,2009-12-26
522,2009,52,2009-12-27,2010-01-02
523,2010,1,2010-01-03,2010-01-09
524,2010,2,2010-01-10,2010-01-16
525,2010,3,2010-01-17,2010-01-23
526,2010,4,2010-01-24,2010-01-30
527,2010,5,2010-01-31,2010-02-06
528,2010,6,2010-02-07,2010-02-13
529,2010,7,2010-02-14,2010-02-20
530,2010,8,2010-02-21,2010-02-27
531,2010,9,2010-02-28,2010-03-06
532,2010,10,2010-03-07,2010-03-13
533,2010,11,2010-03-14,2010-03-20
534,2010,12,2010-03-21,2010-03-27
535,2010,13,2010-03-28,2010-04-03
536,2010,14,2010-04-04,2010-04-10
537,2010,15,2010-04-11,2010-04-17
538,2010,16,2010-04-18,2010-04-24
539,2010,17,2010-04-25,2010-05-01
540,2010,18,2010-05-02,2010-05-08
541,2010,19,2010-05-09,2010-05-15
542,2010,20,2010-05-16,2010-05-22
543,2010,21,2010-05-23,2010-05-29
544,2010,22,2010-05-30,2010-06-05
545,2010,23,2010-06-06,2010-06-12
546,2010,24,2010-06-13,2010-06-19
547,2010,25,2010-06-20,2010-06-26
548,2010,26,2010-06-27,2010-07-03
549,2010,27,2010-07-04,2010-07-10
550,2010,28,2010-07-11,2010-07-17
551,2010,29,2010-07-18,2010-07-24
552,2010,30,2010-07-25,2010-07-31
553,2010,31,2010-08-01,2010-08-07
554,2010,32,2010-08-08,2010-08-14
555,2010,33,2010-08-15,2010-08-21
556,2010,34,2010-08-22,2010-08-28
557,2010,35,2010-08-29,2010-09-04
558,2010,36,2010-09-05,2010-09-11
559,2010,37,2010-09-12,2010-09-18
560,2010,38,2010-09-19,2010-09-25
561,2010,39,2010-09-26,2010-10-02
562,2010,40,2010-10-03,2010-10-09
563,2010,41,2010-10-10,2010-10-16
564,2010,42,2010-10-17,2010-10-23
565,2010,43,2010-10-24,2010-10-30
566,2010,44,2010-10-31,2010-11-06
567,2010,45,2010-11-07,2010-11-13
568,2010,46,2010-11-14,2010-11-20
569,2010,47,2010-11-21,2010-11-27
570,2010,48,2010-11-28,2010-12-04
571,2010,49,2010-12-05,2010-12-11
572,2010,50,2010-12-12,2010-12-18
573,2010,51,2010-12-19,2010-12-25
574,2010,52,2010-12-26,2011-01-01
575,2011,1,2011-01-02,2011-01-08
576,2011,2,2011-01-09,2011-01-15
577,2011,3,2011-01-16,2011-01-22
578,2011,4,2011-01-23,2011-01-29
579,2011,5,2011-01-30,2011-02-05
580,2011,6,2011-02-06,2011-02-12
581,2011,7,2011-02-13,2011-02-19
582,2011,8,2011-02-20,2011-02-26
583,2011,9,2011-02-27,2011-03-05
584,2011,10,2011-03-06,2011-03-12
585,2011,11,2011-03-13,2011-03-19
586,2011,12,2011-03-20,2011-03-26
587,2011,13,2011-03-27,2011-04-02
588,2011,14,2011-04-03,2011-04-09
589,2011,15,2011-04-10,2011-04-16
590,2011,16,2011-04-17,2011-04-23
591,2011,17,2011-04-24,2011-04-30
592,2011,18,2011-05-01,2011-05-07
593,2011,19,2011-05-08,2011-05-14
594,2011,20,2011-05-15,2011-05-21
595,2011,21,2011-05-22,2011-05-28
596,2011,22,2011-05-29,2011-06-04
597,2011,23,2011-06-05,2011-06-11
598,2011,24,2011-06-12,2011-06-18
599,2011,25,2011-06-19,2011-06-25
600,2011,26,2011-06-26,2011-07-02
601,2011,27,2011-07-03,2011-07-09
602,2011,28,2011-07-10,2011-07-16
603,2011,29,2011-07-17,2011-07-23
604,2011,30,2011-07-24,2011-07-30
605,2011,31,2011-07-31,2011-08-06
606,2011,32,2011-08-07,2011-08-13
607,2011,33,2011-08-14,2011-08-20
608,2011,34,2011-08-21,2011-08-27
609,2011,35,2011-08-28,2011-09-03
610,2011,36,2011-09-04,2011-09-10
611,2011,37,2011-09-11,2011-09-17
612,2011,38,2011-09-18,2011-09-24
613,2011,39,2011-09-25,2011-10-01
614,2011,40,2011-10-02,2011-10-08
615,2011,41,2011-10-09,2011-10-15
616,2011,42,2011-10-16,2011-10-22
617,2011,43,2011-10-23,2011-10-29
618,2011,44,2011-10-30,2011-11-05
619,2011,45,2011-11-06,2011-11-12
620,2011,46,2011-11-13,2011-11-19
621,2011,47,2011-11-20,2011-11-26
622,2011,48,2011-11-27,2011-12-03
623,2011,49,2011-12-04,2011-12-10
624,2011,50,2011-12-11,2011-12-17
625,2011,51,2011-12-18,2011-12-24
626,2011,52,2011-12-25,2011-12-31
627,2012,1,2012-01-01,2012-01-07
628,2012,2,2012-01-08,2012-01-14
629,2012,3,2012-01-15,2012-01-21
630,2012,4,2012-01-22,2012-01-28
631,2012,5,2012-01-29,2012-02-04
632,2012,6,2012-02-05,2012-02-11
633,2012,7,2012-02-12,2012-02-18
634,2012,8,2012-02-19,2012-02-25
635,2012,9,2012-02-26,2012-03-03
636,2012,10,2012-03-04,2012-03-10
637,2012,11,2012-03-11,2012-03-17
638,2012,12,2012-03-18,2012-03-24
639,2012,13,2012-03-25,2012-03-31
640,2012,14,2012-04-01,2012-04-07
641,2012,15,2012-04-08,2012-04-14
642,2012,16,2012-04-15,2012-04-21
643,2012,17,2012-04-22,2012-04-28
644,2012,18,2012-04-29,2012-05-05
645,2012,19,2012-05-06,2012-05-12
646,2012,20,2012-05-13,2012-05-19
647,2012,21,2012-05-20,2012-05-26
648,2012,22,2012-05-27,2012-06-02
649,2012,23,2012-06-03,2012-06-09
650,2012,24,2012-06-10,2012-06-16
651,2012,25,2012-06-17,2012-06-23
652,2012,26,2012-06-24,2012-06-30
653,2012,27,2012-07-01,2012-07-07
654,2012,28,2012-07-08,2012-07-14
655,2012,29,2012-07-15,2012-07-21
656,2012,30,2012-07-22,2012-07-28
657,2012,31,2012-07-29,2012-08-04
658,2012,32,2012-08-05,2012-08-11
659,2012,33,2012-08-12,2012-08-18
660,2012,34,2012-08-19,2012-08-25
